iter	Passed	Remaining
0	1	332
1	2	285
2	4	267
3	5	261
4	6	250
5	7	246
6	8	237
7	9	233
8	10	232
9	12	231
10	13	233
11	15	235
12	16	235
13	17	234
14	19	234
15	20	234
16	21	233
17	22	231
18	24	231
19	25	230
20	26	229
21	28	228
22	29	225
23	30	224
24	31	223
25	33	222
26	34	220
27	35	218
28	36	217
29	38	217
30	39	216
31	41	215
32	42	213
33	43	213
34	45	212
35	46	211
36	47	210
37	49	210
38	50	209
39	51	207
40	53	207
41	54	205
42	56	205
43	57	204
44	58	202
45	60	201
46	61	200
47	62	198
48	63	197
49	65	195
50	66	193
51	67	192
52	68	191
53	70	189
54	71	188
55	72	186
56	73	184
57	74	183
58	76	182
59	77	180
60	78	178
61	79	177
62	80	175
63	81	173
64	82	171
65	83	170
66	85	169
67	86	168
68	87	167
69	89	165
70	90	163
71	91	162
72	92	160
73	93	158
74	94	157
75	95	155
76	96	153
77	97	152
78	112	173
79	113	170
80	114	168
81	115	166
82	116	164
83	117	162
84	118	160
85	119	158
86	120	156
87	121	154
88	122	152
89	123	150
90	124	148
91	125	146
92	126	145
93	127	143
94	129	142
95	130	140
96	131	139
97	132	138
98	133	136
99	135	135
100	136	133
101	137	131
102	138	130
103	138	128
104	139	126
105	140	124
106	141	123
107	142	121
108	143	120
109	145	118
110	146	117
111	147	115
112	148	114
113	149	112
114	150	111
115	151	109
116	152	108
117	153	106
118	154	105
119	155	103
120	156	102
121	158	101
122	158	99
123	160	98
124	161	96
125	162	95
126	163	93
127	164	92
128	165	90
129	166	89
130	167	88
131	168	86
132	169	85
133	170	83
134	171	82
135	172	80
136	173	79
137	174	78
138	175	76
139	176	75
140	177	74
141	178	72
142	179	71
143	180	70
144	182	69
145	183	67
146	183	66
147	184	64
148	186	63
149	187	62
150	188	61
151	189	59
152	190	58
153	191	57
154	192	55
155	193	54
156	194	53
157	195	51
158	196	50
159	197	49
160	198	48
161	199	46
162	200	45
163	201	44
164	202	42
165	203	41
166	204	40
167	205	39
168	206	37
169	207	36
170	208	35
171	209	34
172	210	32
173	211	31
174	212	30
175	213	29
176	214	27
177	216	26
178	217	25
179	217	24
180	218	22
181	219	21
182	221	20
183	222	19
184	223	18
185	224	16
186	224	15
187	225	14
188	226	13
189	228	12
190	229	10
191	229	9
192	231	8
193	232	7
194	233	5
195	234	4
196	235	3
197	235	2
198	236	1
199	237	0
